,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
6350,3490,12,27322-A,2室1卫,2/6层,朝阳区,和平西桥,樱花东街,地铁：距13号线光熙门站600米
6352,2320,9,31684-B,3室1卫,3/7层,朝阳区,褡裢坡,三间房西里,地铁：距6号线褡裢坡站800米
6353,3340,19,48154-C,5室1卫,4/12层,朝阳区,传媒大学,珠江绿洲家园,地铁：距八通线传媒大学站550米
6354,1780,9,52770-C,3室1卫,5/6层,顺义区,顺义,东兴一区,地铁：距15号线顺义站400米
6355,2500,9,62298-B,3室1卫,8/28层,朝阳区,北岗子,将府锦苑,地铁：距14号线东段将台站3550米
6356,2960,10,6441-C,5室1卫,3/18层,朝阳区,双井,合生国际家园,"地铁：距7号线,10号线双井站700米"
6357,2120,10,77542-C,4室1卫,7/21层,朝阳区,北岗子,坝鑫家园,"地铁：距12号线,平谷线北岗子站850米"
6358,3120,9,78287-B,3室1卫,18/25层,朝阳区,惠新西街北口,安慧里一区,地铁：距5号线惠新西街北口站600米
6359,2440,10,8994-B,3室1卫,24/29层,朝阳区,传媒大学,北花园小区,地铁：距八通线传媒大学站600米
6361,1670,9,120945-B,3室1卫,2/28层,通州区,同济南路,宏仁家园,地铁：距亦庄线同济南路站3100米
6362,4260,18,11490-B,3室1卫,16/25层,朝阳区,立水桥南,北苑家园望春园,地铁：距5号线立水桥南站600米
6363,2530,9,144344-C,4室1卫,11/34层,昌平区,天通苑,天通苑西二区,地铁：距5号线天通苑站500米
6364,2300,8,147528-A,2室1卫,2/6层,通州区,通州北苑,杨庄小区,地铁：距八通线通州北苑站400米
6365,2180,10,151096-B,3室1卫,6/15层,朝阳区,小红门,鸿博家园一期A区,地铁：距亦庄线小红门站900米
6366,2870,7,151179-C,3室1卫,1/6层,海淀区,六道口,建清园,地铁：距15号线六道口站1600米
6367,1840,10,153081-A,3室1卫,6/16层,大兴区,枣园,首开康乃馨城,地铁：距4号线大兴线枣园站1850米
6369,2300,12,47269-C,3室1卫,10/11层,通州区,万盛东,小稿村,地铁：距7号线万盛东站1200米
6370,1640,10,125895-D,4室1卫,4/6层,大兴区,德茂,上林苑,地铁：距8号线南段德茂站1100米
6371,1980,7,11220-D,4室1卫,11/11层,顺义区,花梨坎,吉祥花园,地铁：距15号线花梨坎站450米
6372,2820,29,11735-B,8室3卫,1/3层,朝阳区,双桥,水郡长安,地铁：距八通线双桥站800米
6374,1910,11,140488-C,3室1卫,4/10层,朝阳区,肖村,成和园,地铁：距亦庄线肖村站2150米
6375,3100,14,153115-A,2室1卫,9/20层,朝阳区,传媒大学,绿岛苑西区,地铁：距八通线传媒大学站1100米
6376,2350,9,15520-A,4室1卫,5/8层,朝阳区,肖村,中海城圣朝菲,地铁：距亦庄线肖村站600米
6377,1720,13,31780-C,3室1卫,9/14层,通州区,通州北关,西潞苑小区,地铁：距6号线通州北关站1950米
6378,2840,9,41039-B,3室1卫,2/6层,朝阳区,劲松,劲松一区,地铁：距10号线劲松站300米
6381,2300,9,10086-A,3室1卫,23/28层,朝阳区,青年路,金隅泰和园,地铁：距6号线青年路站1250米
6382,3470,14,11489-A,3室1卫,5/6层,朝阳区,望京,望京西园二区,"地铁：距14号线东段,15号线望京站650米"
6383,2230,11,12306-A,3室1卫,2/6层,大兴区,旧宫,美然绿色家园,地铁：距亦庄线旧宫站800米
6384,2480,6,138786-A,4室1卫,11/11层,通州区,经海路,经开壹中心,地铁：距亦庄线经海路站800米
6385,1750,9,150158-C,3室1卫,4/6层,顺义区,南法信,华英园（顺义）,地铁：距15号线南法信站800米
6386,1860,8,141469-A,4室1卫,11/27层,通州区,次渠南,次渠家园东里8区,地铁：距亦庄线次渠南站700米
6387,2440,11,152204-A,2室1卫,10/21层,大兴区,西红门,鸿坤理想城七期,地铁：距4号线大兴线西红门站1250米
6388,2880,10,152683-A,3室1卫,2/6层,朝阳区,十里堡,八里庄北里1号院,地铁：距6号线十里堡站100米
6389,2030,9,37846-A,3室1卫,5/6层,石景山区,苹果园,金顶街四区,"地铁：距1号线,6号线苹果园站200米"
6391,4320,15,65434-A,3室1卫,11/22层,海淀区,知春路,希格玛公寓,"地铁：距13号线,10号线知春路站350米"
6392,2470,11,10086-B,3室1卫,23/28层,朝阳区,青年路,金隅泰和园,地铁：距6号线青年路站1250米
6393,2160,16,145744-A,3室1卫,2/6层,大兴区,黄村火车站,观音寺南里,地铁：距4号线大兴线黄村火车站站1500米
6395,2430,8,149162-A,2室1卫,5/6层,大兴区,西红门,兴海家园日苑,地铁：距4号线大兴线西红门站350米
6396,2470,9,152150-C,3室1卫,1/16层,昌平区,天通苑,天通苑北一区,地铁：距5号线天通苑站350米
6397,3310,17,153366-A,2室1卫,4/9层,大兴区,西红门,宏盛家园,地铁：距4号线大兴线西红门站900米
6398,3170,18,153443-A,2室1卫,2/6层,丰台区,角门东,马家堡67号院,地铁：距10号线角门东站750米
6399,3960,14,24122-D,4室1卫,13/20层,海淀区,苏州街,苏州街52号院,"地铁：距10号线,16号线苏州街站850米"
6401,3070,10,34013-C,3室1卫,5/6层,东城区,磁器口,兴隆都市馨园,"地铁：距5号线,7号线磁器口站400米"
6402,2470,9,43031-A,4室1卫,4/5层,昌平区,回龙观,南店新村,地铁：距8号线育新站1100米
6404,2590,11,6296-D,4室1卫,25/28层,朝阳区,立水桥,世华泊郡,"地铁：距13号线,5号线立水桥站1050米"
6405,1860,13,69691-A,3室1卫,2/6层,通州区,临河里,群芳园,地铁：距八通线临河里站1200米
6406,4390,49,73966-A,1室1卫,1/13层,通州区,梨园,园景东区,地铁：距八通线梨园站150米
6407,2440,11,79234-B,3室1卫,8/20层,石景山区,杨庄,杨庄北区,地铁：距6号线杨庄站550米
6410,3630,15,131304-A,3室1卫,1/6层,朝阳区,将台,酒仙桥中路3号院,地铁：距14号线东段将台站700米
6411,3620,48,151278-A,1室1卫,9/11层,通州区,通州北关,古韵新居,地铁：距6号线通州北关站1650米
6412,3590,10,153810-B,2室1卫,13/19层,朝阳区,百子湾,沿海赛洛城,地铁：距7号线百子湾站650米
6413,3020,20,1480-C,5室1卫,6/7层,昌平区,天通苑,天通苑北三区,地铁：距5号线天通苑站1700米
6414,2070,9,15623-B,3室1卫,2/6层,朝阳区,管庄,东会新村,地铁：距八通线管庄站150米
6415,2120,12,25557-C,4室1卫,4/6层,大兴区,西红门,兴海家园日苑,地铁：距4号线大兴线西红门站350米
6416,1770,14,28173-B,3室1卫,5/6层,顺义区,石门,澜西园,地铁：距15号线石门站2200米
